	temperature	mu_X	mu_Li	n_atoms	filename	Li_concentration	Li_concentration_error	mixing_energy	mixing_energy_error	acceptance_ratio	free_energy_derivative
0	100	0	0.4699	3584	monte_carlo_data\sgc-T100-dmu+0.470.dc	0.1039186507936508		-0.09870038900891195	0.00023056638619333504	0.005260003306878308	0.4699
1	100	0	0.9699	3584	monte_carlo_data\sgc-T100-dmu+0.970.dc	0.10892030423280423	0.0007226617436584546	-0.09580683710013052	0.0003037088822035798	0.0058077050264550255	0.9699
2	100	0	1.9699	3584	monte_carlo_data\sgc-T100-dmu+1.970.dc	0.11774553571428571		-0.08261646706178129		0.00043402777777777775	1.9699
3	100	0	2.9699	3584	monte_carlo_data\sgc-T100-dmu+2.970.dc	0.12360491071428571		-0.06694815331547767		0.0002376818783068783	2.9699
4	100	0	-0.030100000000000016	3584	monte_carlo_data\sgc-T100-dmu-0.030.dc	0.0		-0.008039300182463079		0.0	-0.030100000000000016
5	100	0	-0.5301	3584	monte_carlo_data\sgc-T100-dmu-0.530.dc	0.0		-0.008039300182463079		0.0	-0.5301
6	100	0	-1.0301	3584	monte_carlo_data\sgc-T100-dmu-1.030.dc	0.0		-0.008039300182463079		0.0	-1.0301
7	100	0	-1.5301	3584	monte_carlo_data\sgc-T100-dmu-1.530.dc	0.0		-0.008039300182463079		0.0	-1.5301
8	100	0	-2.0301	3584	monte_carlo_data\sgc-T100-dmu-2.030.dc	0.0		-0.008039300182463079		0.0	-2.0301
9	100	0	-2.5301	3584	monte_carlo_data\sgc-T100-dmu-2.530.dc	0.0		-0.008039300182463079		0.0	-2.5301
10	100	0	-3.0301	3584	monte_carlo_data\sgc-T100-dmu-3.030.dc	0.0		-0.008039300182463079		0.0	-3.0301
11	100	0	-3.5301	3584	monte_carlo_data\sgc-T100-dmu-3.530.dc	0.0		-0.008039300182463079		0.0	-3.5301
12	100	0	-4.0301	3584	monte_carlo_data\sgc-T100-dmu-4.030.dc	0.0		-0.008039300182463079		0.0025974025974025974	-4.0301
13	200	0	0.4699	3584	monte_carlo_data\sgc-T200-dmu+0.470.dc	0.10491071428571429	3.0040484560866225e-05	-0.09834495566488574	8.92908190074153e-05	0.005435681216931217	0.4699
14	200	0	0.9699	3584	monte_carlo_data\sgc-T200-dmu+0.970.dc	0.10843460648148148	0.0005006747426811038	-0.09592375824847821	6.82928760745365e-05	0.007409474206349207	0.9699
15	200	0	1.9699	3584	monte_carlo_data\sgc-T200-dmu+1.970.dc	0.1177662037037037	4.1689503545228335e-05	-0.08313643945704983	0.0004781848802494527	0.001333085317460317	1.9699
16	200	0	2.9699	3584	monte_carlo_data\sgc-T200-dmu+2.970.dc	0.12220982142857142		-0.07184906979943802		0.00018601190476190478	2.9699
17	200	0	-0.030100000000000016	3584	monte_carlo_data\sgc-T200-dmu-0.030.dc	0.0		-0.008039300182463079		0.0	-0.030100000000000016
18	200	0	-0.5301	3584	monte_carlo_data\sgc-T200-dmu-0.530.dc	0.0		-0.008039300182463079		0.0	-0.5301
19	200	0	-1.0301	3584	monte_carlo_data\sgc-T200-dmu-1.030.dc	0.0		-0.008039300182463079		0.0	-1.0301
20	200	0	-1.5301	3584	monte_carlo_data\sgc-T200-dmu-1.530.dc	0.0		-0.008039300182463079		0.0	-1.5301
21	200	0	-2.0301	3584	monte_carlo_data\sgc-T200-dmu-2.030.dc	0.0		-0.008039300182463079		0.0	-2.0301
22	200	0	-2.5301	3584	monte_carlo_data\sgc-T200-dmu-2.530.dc	0.0		-0.008039300182463079		0.0	-2.5301
23	200	0	-3.0301	3584	monte_carlo_data\sgc-T200-dmu-3.030.dc	0.0		-0.008039300182463079		0.0	-3.0301
24	200	0	-3.5301	3584	monte_carlo_data\sgc-T200-dmu-3.530.dc	0.0		-0.008039300182463079		0.0	-3.5301
25	200	0	-4.0301	3584	monte_carlo_data\sgc-T200-dmu-4.030.dc	5.073051948051948e-06		-0.008037924747659205	9.851796893394852e-06	0.002247362012987013	-4.0301
26	25	0	0.9699	3584	monte_carlo_data\sgc-T25-dmu+0.970.dc	0.10825892857142858	7.358385880007824e-05	-0.09460036997716284	8.551260223863088e-05	0.0057250330687830695	0.9699
27	25	0	1.9699	3584	monte_carlo_data\sgc-T25-dmu+1.970.dc	0.11802455357142858		-0.08185178665509948	2.2094786073290023e-05	0.0006097056878306878	1.9699
28	25	0	2.9699	3584	monte_carlo_data\sgc-T25-dmu+2.970.dc	0.12276785714285714		-0.06987670977313658		0.0002376818783068783	2.9699
29	25	0	-0.030100000000000016	3584	monte_carlo_data\sgc-T25-dmu-0.030.dc	0.0		-0.008039300182463079		0.0	-0.030100000000000016
30	25	0	-1.0301	3584	monte_carlo_data\sgc-T25-dmu-1.030.dc	0.0		-0.008039300182463079		0.0	-1.0301
31	25	0	-2.0301	3584	monte_carlo_data\sgc-T25-dmu-2.030.dc	0.0		-0.008039300182463079		0.0	-2.0301
32	25	0	-3.0301	3584	monte_carlo_data\sgc-T25-dmu-3.030.dc	0.0		-0.008039300182463079		0.0	-3.0301
33	25	0	-4.0301	3584	monte_carlo_data\sgc-T25-dmu-4.030.dc	0.0		-0.008039300182463079		0.005291005291005291	-4.0301
34	300	0	0.4699	3584	monte_carlo_data\sgc-T300-dmu+0.470.dc	0.1050863921957672	0.0001859025388707349	-0.10032371504225017	0.0004097724808334867	0.006210730820105822	0.4699
35	300	0	0.9699	3584	monte_carlo_data\sgc-T300-dmu+0.970.dc	0.109395667989418		-0.09619282156394889	9.480914574035166e-05	0.009052579365079366	0.9699
36	300	0	1.9699	3584	monte_carlo_data\sgc-T300-dmu+1.970.dc	0.11624710648148148	0.00010660179317190271	-0.08723228613324872		0.001632771164021164	1.9699
37	300	0	2.9699	3584	monte_carlo_data\sgc-T300-dmu+2.970.dc	0.12276785714285714		-0.06991668788219414		0.000248015873015873	2.9699
38	300	0	-0.030100000000000016	3584	monte_carlo_data\sgc-T300-dmu-0.030.dc	0.0		-0.008039300182463079		0.0	-0.030100000000000016
39	300	0	-0.5301	3584	monte_carlo_data\sgc-T300-dmu-0.530.dc	0.0		-0.008039300182463079		0.0	-0.5301
40	300	0	-1.0301	3584	monte_carlo_data\sgc-T300-dmu-1.030.dc	0.0		-0.008039300182463079		0.0	-1.0301
41	300	0	-1.5301	3584	monte_carlo_data\sgc-T300-dmu-1.530.dc	0.0		-0.008039300182463079		0.0	-1.5301
42	300	0	-2.0301	3584	monte_carlo_data\sgc-T300-dmu-2.030.dc	0.0		-0.008039300182463079		0.0	-2.0301
43	300	0	-2.5301	3584	monte_carlo_data\sgc-T300-dmu-2.530.dc	0.0		-0.008039300182463079		0.0	-2.5301
44	300	0	-3.0301	3584	monte_carlo_data\sgc-T300-dmu-3.030.dc	0.0		-0.008039300182463079		0.0	-3.0301
45	300	0	-3.5301	3584	monte_carlo_data\sgc-T300-dmu-3.530.dc	0.0		-0.008039300182463079		0.0	-3.5301
46	300	0	-4.0301	3584	monte_carlo_data\sgc-T300-dmu-4.030.dc	0.0		-0.008039300182463079		0.002221996753246753	-4.0301
47	400	0	0.4699	3584	monte_carlo_data\sgc-T400-dmu+0.470.dc	0.1031332671957672	0.00010534018905262328	-0.10166978137478207		0.001560433201058201	0.4699
48	400	0	0.9699	3584	monte_carlo_data\sgc-T400-dmu+0.970.dc	0.10902364417989419	7.104172941943086e-05	-0.09788967068379117	0.000543550214421862	0.004505621693121693	0.9699
49	400	0	1.9699	3584	monte_carlo_data\sgc-T400-dmu+1.970.dc	0.11649512235449735	7.582095932648333e-05	-0.08668610904748032	0.00014821976178253088	0.0017567791005291006	1.9699
50	400	0	2.9699	3584	monte_carlo_data\sgc-T400-dmu+2.970.dc	0.12248883928571429		-0.07083290620449412		0.00022734788359788359	2.9699
51	400	0	-0.030100000000000016	3584	monte_carlo_data\sgc-T400-dmu-0.030.dc	0.09840198863636364	0.00036313856382795404	-0.1013373007456221	0.00037437484904771133	0.013793628246753243	-0.030100000000000016
52	400	0	-0.5301	3584	monte_carlo_data\sgc-T400-dmu-0.530.dc	0.0		-0.008039300182463079		0.0	-0.5301
53	400	0	-1.0301	3584	monte_carlo_data\sgc-T400-dmu-1.030.dc	0.0		-0.008039300182463079		0.0	-1.0301
54	400	0	-1.5301	3584	monte_carlo_data\sgc-T400-dmu-1.530.dc	0.0		-0.008039300182463079		0.0	-1.5301
55	400	0	-2.0301	3584	monte_carlo_data\sgc-T400-dmu-2.030.dc	0.0		-0.008039300182463079		0.0	-2.0301
56	400	0	-2.5301	3584	monte_carlo_data\sgc-T400-dmu-2.530.dc	0.0		-0.008039300182463079		0.0	-2.5301
57	400	0	-3.0301	3584	monte_carlo_data\sgc-T400-dmu-3.030.dc	0.0		-0.008039300182463079		0.0	-3.0301
58	400	0	-3.5301	3584	monte_carlo_data\sgc-T400-dmu-3.530.dc	0.0		-0.008039300182463079		0.0	-3.5301
59	400	0	-4.0301	3584	monte_carlo_data\sgc-T400-dmu-4.030.dc	0.0		-0.008039300182463079		0.002232142857142857	-4.0301
60	500	0	0.4699	3584	monte_carlo_data\sgc-T500-dmu+0.470.dc	0.1033192791005291	8.397814538660604e-05	-0.10257937499587637	3.077289357018376e-05	0.002294146825396825	0.4699
61	500	0	0.9699	3584	monte_carlo_data\sgc-T500-dmu+0.970.dc	0.10746321097883597	0.00018545251996116395	-0.10045575753963998	0.0003164167996704684	0.004639963624338624	0.9699
62	500	0	1.9699	3584	monte_carlo_data\sgc-T500-dmu+1.970.dc	0.11456266534391535	6.88920683486356e-05	-0.09021927162587542	0.00015788330727025264	0.0025318287037037032	1.9699
63	500	0	2.9699	3584	monte_carlo_data\sgc-T500-dmu+2.970.dc	0.12280919312169312		-0.06967064186686123	0.00027717761948772564	0.0003823578042328042	2.9699
64	500	0	-0.030100000000000016	3584	monte_carlo_data\sgc-T500-dmu-0.030.dc	0.0997564935064935	0.0013575241701117204	-0.10232976423321792	0.0032336443364183345	0.014366883116883116	-0.030100000000000016
65	500	0	-0.5301	3584	monte_carlo_data\sgc-T500-dmu-0.530.dc	0.0		-0.008039300182463079		0.0	-0.5301
66	500	0	-1.0301	3584	monte_carlo_data\sgc-T500-dmu-1.030.dc	0.0		-0.008039300182463079		0.0	-1.0301
67	500	0	-1.5301	3584	monte_carlo_data\sgc-T500-dmu-1.530.dc	0.0		-0.008039300182463079		0.0	-1.5301
68	500	0	-2.0301	3584	monte_carlo_data\sgc-T500-dmu-2.030.dc	0.0		-0.008039300182463079		0.0	-2.0301
69	500	0	-2.5301	3584	monte_carlo_data\sgc-T500-dmu-2.530.dc	0.0		-0.008039300182463079		0.0	-2.5301
70	500	0	-3.0301	3584	monte_carlo_data\sgc-T500-dmu-3.030.dc	0.0		-0.008039300182463079		0.0	-3.0301
71	500	0	-3.5301	3584	monte_carlo_data\sgc-T500-dmu-3.530.dc	0.0		-0.008039300182463079		0.0	-3.5301
72	500	0	-4.0301	3584	monte_carlo_data\sgc-T500-dmu-4.030.dc	0.0		-0.008039300182463079		0.0022270698051948053	-4.0301
73	600	0	0.4699	3584	monte_carlo_data\sgc-T600-dmu+0.470.dc	0.10361896494708996	0.00030090510381632735	-0.10440410747635342	2.472733844371299e-05	0.0013227513227513227	0.4699
